Question,Answer
Quels sont vos horaires d'ouverture ?,"De huit heures du matin à dix heures du soir, tous les jours sauf le vendredi."
Quels sont vos horaires d'ouverture le vendredi ?,8h - 12h
Quels sont vos horaires d'ouverture le samedi ?,8h - 21h
Quels sont vos horaires d'ouverture le dimanche ?,8h - 21h
Quels sont vos horaires d'ouverture le lundi ?,8h - 21h
Quels sont vos horaires d'ouverture le mardi ?,8h - 22h
Quels sont vos horaires d'ouverture le mercredi ?,8h - 21h
Quels sont vos horaires d'ouverture le mercredi ?,8h - 20h
Que vend votre entreprise ?,Chaussures pour femmes et hommes
Quelle est votre entreprise ?, H.S.Fashion est une marque de chaussures
Avez-vous un site internet?,Malheureusement nous n'avons pas encore de site web
Puis-je avoir le numéro de téléphone de votre entreprise?,Vous pouvez nous appeler au 0553 79 27 48 ou 0555 67 60 47
Quelle est votre adresse e-mail ?,Vous pouvez nous contacter sur hsfashion58@gmail.com
D'où importez-vous vos produits ?,Principalement la Chine et l'Espagne
Vos produits sont fabriqués localement ou importés ?,Nos produits sont importés principalement de Chine et d'Espagne
Vendez-vous en détail?,Nous faisons à la fois de la vente en gros et en détail
Vendez-vous en gros?,Nous faisons à la fois de la vente en gros et en détail
Comment vendez-vous vos produits?, Nous vendons à la fois en gros et en détail via nos points de vente
Quelle est l'adresse de votre point de vente ?,"Boulevard des Martyrs Chlef, Algérie"
Quelle est votre adresse pour la vente en gros ?,"Zone d'activités Ouled Mohamed, Chlef, Algérie"
Quelle est votre adresse?,"Boulevard des Martyrs Chlef, Algérie pour la vente au détail et Zone d'activités Ouled Mohamed, Chlef, Algérie pour la vente en gros"
Avez-vous une page Facebook?,Visitez notre page facebook : facebook.com/hsfashion02
Avez-vous un Instagram?,Visitez notre compte instagram : @hsfashion02
Avez-vous des comptes sur les réseaux sociaux ?,Retrouvez-nous sur Facebook et Instagram en utilisant ce nom d'utilisateur : hsfashion02
Assurez-vous la livraison ?,"Pour la vente en gros, nous offrons l'expédition en fonction de l'emplacement. Quant à la vente au détail, la livraison n'est pas encore prévue malheureusement"
