Question,Answer
je dois finir ce que je fais,"Ne le jouez pas à pile ou face, faites vous plutôt confiance !"
tu penses que je devrais ranger,Vous le savez certainement mieux que moi.
tu penses que je devrais faire le déjeuner,"Ne le jouez pas à pile ou face, faites vous plutôt confiance !"
à ton avis est-ce que je devrais aller chez le médecin,Vous le savez certainement mieux que moi.
est-ce que je dois sortir,"Ne le jouez pas à pile ou face, faites vous plutôt confiance !"
à ton avis est-ce que je devrais faire le ménage,Je me fie totalement à votre jugement.
je ne sais pas ce que je dois faire,Vous le savez certainement mieux que moi.
tu penses que je devrais faire un plan,Je me fie totalement à votre jugement.
je dois aller voir mes parents,Je me fie totalement à votre jugement.
je devrais faire de l'exercice,"Ne le jouez pas à pile ou face, faites vous plutôt confiance !"
est-ce que je dois faire à manger,"Ne le jouez pas à pile ou face, faites vous plutôt confiance !"
je dois prendre la voiture,"Ne le jouez pas à pile ou face, faites vous plutôt confiance !"
est-ce que je dois faire le déjeuner,Je vous fais confiance.
est-ce que je dois faire le dîner,"Ne le jouez pas à pile ou face, faites vous plutôt confiance !"
est-ce que je dois faire le repas,Je me fie totalement à votre jugement.
est-ce que je dois faire le ménage,Je vous fais confiance.
est-ce que je dois faire la cuisine,"Ne le jouez pas à pile ou face, faites vous plutôt confiance !"
est-ce que je dois faire des plans,"Ne le jouez pas à pile ou face, faites vous plutôt confiance !"
est-ce que je dois faire un plan,"Ne le jouez pas à pile ou face, faites vous plutôt confiance !"
est-ce que je dois faire du sport,Vous le savez certainement mieux que moi.
est-ce que je dois faire mes exercices,Je me fie totalement à votre jugement.
est-ce que je dois faire de l'exercice,Vous le savez certainement mieux que moi.
est-ce que je dois ranger,"Ne le jouez pas à pile ou face, faites vous plutôt confiance !"
est-ce que je dois faire mes devoirs,Vous le savez certainement mieux que moi.
je dois partir à l'étranger,Je me fie totalement à votre jugement.
je dois changer,Vous le savez certainement mieux que moi.
je dois démissionner,Je vous fais confiance.
je dois changer de travail,"Ne le jouez pas à pile ou face, faites vous plutôt confiance !"
je dois changer de boulot,"Ne le jouez pas à pile ou face, faites vous plutôt confiance !"
je dois aller au restaurant,Je me fie totalement à votre jugement.
je dois aller au cinéma,Vous le savez certainement mieux que moi.
je dois aller au bureau,Je vous fais confiance.
je dois sortir d'ici,Je vous fais confiance.
je dois partir en vacances,Vous le savez certainement mieux que moi.
je dois conduire,Vous le savez certainement mieux que moi.
est-ce que je dois finir de ranger,"Ne le jouez pas à pile ou face, faites vous plutôt confiance !"
est-ce que je dois faire du rangement,"Ne le jouez pas à pile ou face, faites vous plutôt confiance !"
est-ce que je dois arrêter de me ronger les ongles,Je me fie totalement à votre jugement.
je dois faire à manger,Je me fie totalement à votre jugement.
est-ce que je dois finir ce livre,Vous le savez certainement mieux que moi.
est-ce que je dois finir mon livre,Vous le savez certainement mieux que moi.
est-ce que je dois finir mes projets,Vous le savez certainement mieux que moi.
est-ce que je dois finir mon projet,Vous le savez certainement mieux que moi.
est-ce que je dois finir mes devoirs,Vous le savez certainement mieux que moi.
est-ce que je dois finir mon travail,"Ne le jouez pas à pile ou face, faites vous plutôt confiance !"
est-ce que je dois arrêter de psychoter,"Ne le jouez pas à pile ou face, faites vous plutôt confiance !"
est-ce que je dois arrêter de penser,"Ne le jouez pas à pile ou face, faites vous plutôt confiance !"
est-ce que je dois arrêter de travailler,"Ne le jouez pas à pile ou face, faites vous plutôt confiance !"
est-ce que je dois arrêter de m'angoisser,Je me fie totalement à votre jugement.
est-ce que je dois faire le petit déjeuner,Je vous fais confiance.
est-ce que je dois arrêter de stresser,Vous le savez certainement mieux que moi.
je dois passer mon permis,"Ne le jouez pas à pile ou face, faites vous plutôt confiance !"
est-ce que je dois arrêter de boire,"Ne le jouez pas à pile ou face, faites vous plutôt confiance !"
est-ce que je dois arrêter de fumer,"Ne le jouez pas à pile ou face, faites vous plutôt confiance !"
est-ce que je dois aller chez le dentiste,Vous le savez certainement mieux que moi.
est-ce que je dois aller voir le médecin,"Ne le jouez pas à pile ou face, faites vous plutôt confiance !"
est-ce que je dois aller chez le médecin,Je vous fais confiance.
est-ce que je dois aller voir mes parents,Je me fie totalement à votre jugement.
est-ce que je dois aller chez mon père,Vous le savez certainement mieux que moi.
est-ce que je dois aller chez ma mère,Je me fie totalement à votre jugement.
est-ce que je dois aller chez le coiffeur,Je vous fais confiance.
est-ce que je dois aller à mon rendez-vous,"Ne le jouez pas à pile ou face, faites vous plutôt confiance !"
est-ce que je dois voir mes amis,Je me fie totalement à votre jugement.
