,text,QA,task,chitchat
2535,bonne nuit chez toi,0,0,1
1888,je dois finir ça,0,0,1
242,adieu,0,1,0
7982,c'est vraiment la classe,0,0,1
6379,où t'es maintenant,0,0,1
515,je cherche une chaussure chère pour les garçons,0,1,0
52,sabot soirée,0,1,0
4928,tu connais ta grand-mère,0,0,1
9660,que vend votre entreprise,1,0,0
9318,quelle sont vos heures de travail le vendredi,1,0,0
5368,tu sais le sens de la vie,0,0,1
9632,quelles sont vos horaires de travail,1,0,0
7609,boucle-la,0,0,1
675,oui bien sure,0,1,0
6127,c’est qui ton amant,0,0,1
5873,tu veux détruire la terre,0,0,1
6769,comment il s'appelle ton patron,0,0,1
487,c koi les coleurs dispo ?,0,1,0
7872,est-ce que tu peux me chanter quelque chose,0,0,1
7038,qui t'a faite,0,0,1
666,non c bien,0,1,0
1339,Je me fiche,0,1,0
1689,merci bcp bye,0,1,0
2660,je suis ravie,0,0,1
3280,tu es classe,0,0,1
6070,as-tu une femme,0,0,1
2497,bonne nuit pour toi,0,0,1
1521,je me concerne pas,0,1,0
8044,t'es fort,0,0,1
8679,bien c'est entendu,0,0,1
8159,Tu ne sers vraiment à rien,0,0,1
15,"Merci, au revoir",0,1,0
7169,je dois t'appeler de quelle façon,0,0,1
7659,plus un mot maintenant,0,0,1
1423,en tous cas merci pour votre aide,0,1,0
2447,tu peux expliquer,0,0,1
4862,je trouve que t'es ennuyeuse,0,0,1
5631,tu es plus malin,0,0,1
7306,je pense te virer,0,0,1
637,je cherche des ballerines à prix modéré,0,1,0
7876,est-ce que tu voudrais bien chanter,0,0,1
5625,tu es bien plus smart que moi,0,0,1
9212,donnez moi votre adresse email,1,0,0
9937,quelle est votre adresse,1,0,0
9026,je vais me jeter de la fenêtre,0,0,1
251,fille,0,1,0
821,est ce que c'est cher,0,1,0
2623,c'est sympa ta journée jusqu'ici,0,0,1
1267,combien ca coute ?,0,1,0
3126,est-ce que t'es ma copine,0,0,1
6671,T'es capable de faire pipi,0,0,1
2753,yo HAL,0,0,1
3034,qu'est-ce que tu peux me dire de beau,0,0,1
9071,je vais me flinguer,0,0,1
231,autre chose que celui ci ?,0,1,0
2982,je te souhaite une bonne fête des mères,0,0,1
1799,"je ne sais pas, pas un en particulier",0,1,0
411,je cherche des chaussures pas cher,0,1,0
7202,Ca m'ennuie que tu donnes les mêmes réponses,0,0,1
8461,elle est bête ta réponse,0,0,1
6196,tu es d'accord qu'on échange,0,0,1
108,d'accord au revoir et merci,0,1,0
1019,je ne parle pas français ,0,1,0
1467,bye,0,1,0
2876,je te souhaite un joyeux poisson d'avril,0,0,1
2552,nighty night monsieur,0,0,1
5902,est-ce que tu es dangereux pour la terre,0,0,1
247,ce n'est pas grave,0,1,0
1841,je devrais faire de l'exercice,0,0,1
3456,je suis carrément en amour de toi,0,0,1
8278,Est-ce que tu penses que c'est rigolo,0,0,1
7788,je suis russe,0,0,1
8584,ouais ouais,0,0,1
9721,quelle sont vos horaires d'ouverture le lundi,1,0,0
904,autre chose !,0,1,0
9495,comment puis je vous contacter,1,0,0
2681,enchanté de te connaître,0,0,1
7356,donne-moi des histoires drôles,0,0,1
9148,dis est-ce que ça fontionne correctement,0,0,1
6186,est-ce qu'on pourrait discuter,0,0,1
9454,quelle sont vos heures d'ouverture le lundi,1,0,0
6468,c’est quand ton mois d’anniversaire,0,0,1
4338,je suis parfois seule,0,0,1
5261,Est-ce que t'es pote avec des chatbots,0,0,1
7268,tu peux me répondre une autre réponse,0,0,1
9845,quelle sont vos horaires d'ouverture le samedi,1,0,0
1345,oui,0,1,0
8883,pourquoi tu m'aimes pas,0,0,1
6665,t'aimerais bailler,0,0,1
5202,tu vois d'autres assistants virtuels,0,0,1
6299,t'es basée où là,0,0,1
9445,quelle sont vos heures de travail le jeudi,1,0,0
4233,je suis souvent vraiment très seul,0,0,1
8486,c’est nase ce que tu dis,0,0,1
5085,tu aimes bouffer,0,0,1
2069,je suis stylée,0,0,1
5772,Donne ton avis sur tes concurrents,0,0,1
573,raisonable,0,1,0
1034,c'est jolie,0,1,0
4601,pourquoi je me sens tellement déprimé,0,0,1
1004,c'est combien ?,0,1,0
5209,tu es pote avec d'autres chatbots,0,0,1
9143,123micro,0,0,1
833,merci au revoir,0,1,0
4261,je me sens souvent très seul,0,0,1
3579,est-ce que je suis marié,0,0,1
6253,t'es un homme,0,0,1
6287,où es-tu présent,0,0,1
6701,tu peux avoir tes règles,0,0,1
3271,tu es vraiment trop classe,0,0,1
5919,est-ce que tu essaies de nuire aux hommes,0,0,1
4837,je te trouve hyper barbante,0,0,1
6939,Est-ce que tu peux faire ma lessive,0,0,1
5131,est-ce que tu manges des fois,0,0,1
7057,tu sais qui t'a construite,0,0,1
2473,une bonne matinée vous,0,0,1
8682,bin c'est sûr,0,0,1
6066,est-ce que tu as une chérie,0,0,1
7520,peux-tu me dire quelque chose humoristique,0,0,1
7845,tu veux chanter quelque chose,0,0,1
707,ya des sandales qui sont moins cher ?,0,1,0
2863,je suis ravi de vous rencontrer,0,0,1
1714,justement,0,1,0
4511,ça fait un bon moment que je me sens déprimé,0,0,1
5009,est-ce que tu peux des fois sentir l'envie de manger,0,0,1
4730,tu es hyper barbante,0,0,1
891,quelle est la fourchette de prix,0,1,0
9301,cherchez vous des vendeurs,1,0,0
7187,peux-tu me dire comment on t'appelle,0,0,1
7684,je suis espagnol,0,0,1
6947,Quel est ton travail,0,0,1
5865,est-ce que tu veux asservir la terre,0,0,1
7411,est-ce que tu peux me faire une blague,0,0,1
3070,tu peux être ma meilleure pote,0,0,1
1639,"euh c'est un peu cher, autre chose ?",0,1,0
5092,quelle nourriture aimes-tu,0,0,1
4977,tu connais tes fils,0,0,1
1484,ih oui,0,1,0
3831,je n'ai jamais été autant furieuse,0,0,1
2885,bonne journée internationale des droits des femmes,0,0,1
4486,j'aime trop tester des recettes,0,0,1
9565,quelle sont vos heures d'ouverture le vendredi,1,0,0
9088,je vais me mettre sous le bus,0,0,1
6010,tu penses que t'es subtile,0,0,1
1653,ce n'est pas grave,0,1,0
7946,est-ce que tu peux me chanter des chansons,0,0,1
5301,qu'est-ce que c'est ta lecture préférée,0,0,1
9929,votre adresse electronique,1,0,0
8801,tu es très désopilante,0,0,1
6420,t’es vieille,0,0,1
1611,son prix ?,0,1,0
125,"je ne sais pas, propose moi quelque chose",0,1,0
359,mrc a bientôt,0,1,0
4092,je voudrais bouffer,0,0,1
9850,quelle sont vos heures de travail le lundi,1,0,0
3443,tu es mon amour,0,0,1
3409,tu est conçu pour m’aimer,0,0,1
3588,où je pars en vacances,0,0,1
6896,Tu sais te droguer,0,0,1
7794,je suis passionné d'équitation,0,0,1
255,et quelles sont les pointures pour ça,0,1,0
8125,tu es carrément stupide,0,0,1
2345,merci c'est très gentil,0,0,1
6810,Tu peux jouer au football,0,0,1
1682,toux,0,1,0
8835,ah tape m'en cinq,0,0,1
