,text,classes
16894,Quand mes amis ont tout eu avant moi.,empathetic
1681,Il y a des moments où j'aurais aimé ne pas avoir vendu ma Nissan Maxima. J'ai un VUS mais je manque la berline. Je manque de conduire plus près du sol et d'avoir un meilleur kilométrage d'essence.,empathetic
20094,J'ai eu un ami en surpoids courir un marathon,empathetic
12490,"Je suis allé chercher un camion l'autre jour, mais je ne me sentais pas dupé par le dealer, je savais ce que je voulais.",empathetic
17857,"Aujourd'hui, je pense que ce sera une belle journée.",empathetic
36746,ah tope la,chitchat
7471,"J'espère vraiment que mes parents arriveront à ma maison ok, ils vivent à 3 heures d'ici.",empathetic
1383,Ma fille a eu le cœur brisé parce que son petit ami a rompu avec elle. Cela me brise le cœur parce que je l'aime tellement et qu'elle ferait n'importe quoi pour elle.,empathetic
30118,c'est lequel le plus beau entre nous à ton avis,chitchat
29886,est-ce que tu peux me parler du véritable sens de la vie,chitchat
7425,Je suis allé à l'entretien la semaine dernière prêt pour tout ce qu'ils m'ont jeté,empathetic
30996,tu sais que t'es vif,chitchat
22216,J'ai vraiment raté les vacances quand notre famille s'est réunie. Les vacances ne sont jamais les mêmes.,empathetic
25468,penses-tu qu'il soit possible de m'aimer,chitchat
20625,Je me sens toujours triste pendant les vacances.. mon père est décédé autour de Noël,empathetic
12674,Le cancer de mon père s'aggrave de jour en jour. J'ai peur de compter ses derniers jours!!,empathetic
6087,"L'autre soir, mon ami et moi avons joué avec un plateau Ouija... et ça nous a parlé.",empathetic
36098,c’est complètement affligeant comme réponse,chitchat
21106,J'ai acheté une voiture d'occasion il y a quelques années et j'ai trouvé 500 dollars dans la banquette arrière!,empathetic
28183,je suis déprimé,chitchat
3008,"J'ai beaucoup lu, donc je sais que je ne vais pas échouer à l'examen que je vais faire.",empathetic
19050,"J'ai récemment eu ma coupe de cheveux pour la première fois depuis des années. Ce n'est pas parfait, mais dans la fin, mes cheveux ont l'air beaucoup plus épais et plus sain, donc je suis heureux.",empathetic
2324,Je ne peux pas attendre Noël.,empathetic
18629,Je porte toujours un multi-outil et un petit tournevis 4-1 sur moi. J'ai l'impression de pouvoir réparer presque n'importe quoi avec ça.,empathetic
21108,"En rentrant aujourd'hui, il y avait quelqu'un dans la voie rapide qui allait si lentement devant moi.",empathetic
19003,"Je m'assure toujours d'être à l'extérieur de ma maison avant que quelqu'un ne me ramasse, j'aime anticiper les choses.",empathetic
